number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discount,params_eps_decay,params_grad_steps,params_hidden_units,params_lr,params_n_layers,state
27,0.5333333333333333,2025-06-08 17:11:30.748619,2025-06-08 17:18:32.474765,0 days 00:07:01.726146,64,0.823431732201439,0.0003133541448363297,3,64,4.373446720564933e-05,2,COMPLETE
28,0.96,2025-06-08 17:18:32.478744,2025-06-08 17:28:28.858779,0 days 00:09:56.380035,128,0.8414404406181486,0.0024700194214047786,4,32,0.000947983344958926,2,COMPLETE
29,0.9899999999999999,2025-06-08 17:28:28.864269,2025-06-08 17:38:26.171827,0 days 00:09:57.307558,64,0.8039677908375795,0.005399008474070723,4,256,0.0007687347487917227,2,COMPLETE
30,0.9166666666666666,2025-06-08 17:38:26.175956,2025-06-08 17:47:58.336580,0 days 00:09:32.160624,32,0.8949460917769695,0.006424254443216101,4,64,0.0009989003838683718,2,COMPLETE
31,0.9433333333333334,2025-06-08 17:47:58.340759,2025-06-08 17:57:24.454376,0 days 00:09:26.113617,64,0.8160360604351543,0.0008169610441859812,4,32,0.0004974434984952609,2,COMPLETE
32,0.9966666666666667,2025-06-08 17:57:24.459050,2025-06-08 18:04:37.205240,0 days 00:07:12.746190,64,0.8991487297571416,0.0006536813911015813,3,128,0.00065007403359163,2,COMPLETE
33,0.9933333333333333,2025-06-08 18:04:37.209817,2025-06-08 18:12:11.186966,0 days 00:07:33.977149,64,0.9720423128486904,0.0006027187054545036,3,256,0.0008831756288044764,2,COMPLETE
34,0.9899999999999999,2025-06-08 18:12:11.189340,2025-06-08 18:20:13.762070,0 days 00:08:02.572730,128,0.8963453294629111,0.0006163941596338761,3,256,0.00034678236047723526,2,COMPLETE
35,0.9933333333333333,2025-06-08 18:20:13.766419,2025-06-08 18:28:06.839264,0 days 00:07:53.072845,64,0.9209819233631651,0.003078676187424331,3,256,0.0009363310536953574,2,COMPLETE
36,0.9766666666666666,2025-06-08 18:28:06.844016,2025-06-08 18:37:34.771745,0 days 00:09:27.927729,64,0.8108890553674118,0.0017011969556819633,4,64,0.0006099246757939039,1,COMPLETE
