seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.08
0,100,win,0.0
0,100,draw,0.11
0,200,win,0.0
0,200,draw,0.09
0,300,win,0.0
0,300,draw,0.1
0,400,win,0.0
0,400,draw,0.02
0,400,loss,0.003092795144766569
0,500,win,0.0
0,500,draw,0.23
0,500,loss,0.0035281083546578884
0,600,win,0.0
0,600,draw,0.32
0,600,loss,0.0026926433201879263
0,700,win,0.0
0,700,draw,0.43
0,700,loss,0.0020608403719961643
0,800,win,0.0
0,800,draw,0.55
0,800,loss,0.002008160576224327
0,900,win,0.0
0,900,draw,0.6
0,900,loss,0.0025864511262625456
0,1000,win,0.0
0,1000,draw,0.76
0,1000,loss,0.0026539433747529984
0,1100,win,0.0
0,1100,draw,0.79
0,1100,loss,0.003855434712022543
0,1200,win,0.0
0,1200,draw,0.85
0,1200,loss,0.0026060554664582014
0,1300,win,0.0
0,1300,draw,0.87
0,1300,loss,0.0018046540208160877
0,1400,win,0.0
0,1400,draw,0.85
0,1400,loss,0.0022430915851145983
0,1500,win,0.0
0,1500,draw,0.8
0,1500,loss,0.0020352336578071117
0,1600,win,0.0
0,1600,draw,0.63
0,1600,loss,0.00231360737234354
0,1700,win,0.0
0,1700,draw,0.8
0,1700,loss,0.0018439004197716713
0,1800,win,0.0
0,1800,draw,0.9
0,1800,loss,0.0018183756619691849
0,1900,win,0.0
0,1900,draw,0.96
0,1900,loss,0.0018614826258271933
0,2000,win,0.0
0,2000,draw,0.88
0,2000,loss,0.0021884976886212826
0,2100,win,0.0
0,2100,draw,0.82
0,2100,loss,0.0020729247480630875
0,2200,win,0.0
0,2200,draw,0.97
0,2200,loss,0.00222682673484087
0,2300,win,0.0
0,2300,draw,0.94
0,2300,loss,0.0014211756642907858
0,2400,win,0.0
0,2400,draw,0.93
0,2400,loss,0.0017176069086417556
0,2500,win,0.0
0,2500,draw,0.9
0,2500,loss,0.0018134138081222773
0,2600,win,0.0
0,2600,draw,0.78
0,2600,loss,0.0021899440325796604
0,2700,win,0.0
0,2700,draw,0.96
0,2700,loss,0.0016166551504284143
0,2800,win,0.0
0,2800,draw,0.98
0,2800,loss,0.0010617576772347093
0,2900,win,0.0
0,2900,draw,0.97
0,2900,loss,0.0011226567439734936
1,0,win,0.0
1,0,draw,0.0
1,100,win,0.0
1,100,draw,0.0
1,200,win,0.0
1,200,draw,0.0
1,300,win,0.0
1,300,draw,0.0
1,400,win,0.0
1,400,draw,0.22
1,400,loss,0.0015503709437325597
1,500,win,0.0
1,500,draw,0.27
1,500,loss,0.0023847694974392653
1,600,win,0.0
1,600,draw,0.34
1,600,loss,0.0018424029694870114
1,700,win,0.0
1,700,draw,0.39
1,700,loss,0.0033258767798542976
1,800,win,0.0
1,800,draw,0.64
1,800,loss,0.0030777964275330305
1,900,win,0.0
1,900,draw,0.53
1,900,loss,0.0034936198499053717
1,1000,win,0.0
1,1000,draw,0.7
1,1000,loss,0.003437324892729521
1,1100,win,0.0
1,1100,draw,0.72
1,1100,loss,0.0025077909231185913
1,1200,win,0.0
1,1200,draw,0.58
1,1200,loss,0.0025525272358208895
1,1300,win,0.0
1,1300,draw,0.81
1,1300,loss,0.0033417162485420704
1,1400,win,0.0
1,1400,draw,0.76
1,1400,loss,0.0027983260806649923
1,1500,win,0.0
1,1500,draw,0.81
1,1500,loss,0.003452715929597616
1,1600,win,0.0
1,1600,draw,0.79
1,1600,loss,0.002583008725196123
1,1700,win,0.0
1,1700,draw,0.83
1,1700,loss,0.0021071252413094044
1,1800,win,0.0
1,1800,draw,0.78
1,1800,loss,0.0022075087763369083
1,1900,win,0.0
1,1900,draw,0.84
1,1900,loss,0.0019522982183843851
1,2000,win,0.0
1,2000,draw,0.82
1,2000,loss,0.0020825681276619434
1,2100,win,0.0
1,2100,draw,0.82
1,2100,loss,0.002947529312223196
1,2200,win,0.0
1,2200,draw,0.76
1,2200,loss,0.002212978433817625
1,2300,win,0.0
1,2300,draw,0.81
1,2300,loss,0.002339546103030443
1,2400,win,0.0
1,2400,draw,0.91
1,2400,loss,0.001500680111348629
1,2500,win,0.0
1,2500,draw,0.87
1,2500,loss,0.0016684664878994226
1,2600,win,0.0
1,2600,draw,0.9
1,2600,loss,0.0009636082104407251
1,2700,win,0.0
1,2700,draw,0.82
1,2700,loss,0.0019090607529506087
1,2800,win,0.0
1,2800,draw,0.88
1,2800,loss,0.0023090478498488665
1,2900,win,0.0
1,2900,draw,0.87
1,2900,loss,0.0020835220348089933
2,0,win,0.0
2,0,draw,0.06
2,100,win,0.0
2,100,draw,0.05
2,200,win,0.0
2,200,draw,0.02
2,300,win,0.0
2,300,draw,0.02
2,400,win,0.0
2,400,draw,0.03
2,400,loss,0.0031533443834632635
2,500,win,0.0
2,500,draw,0.19
2,500,loss,0.0026009990833699703
2,600,win,0.0
2,600,draw,0.16
2,600,loss,0.0026945723220705986
2,700,win,0.0
2,700,draw,0.28
2,700,loss,0.0024983412586152554
2,800,win,0.0
2,800,draw,0.51
2,800,loss,0.0035882596857845783
2,900,win,0.0
2,900,draw,0.73
2,900,loss,0.002467798301950097
2,1000,win,0.0
2,1000,draw,0.78
2,1000,loss,0.002782274968922138
2,1100,win,0.0
2,1100,draw,0.84
2,1100,loss,0.001939120003953576
2,1200,win,0.0
2,1200,draw,0.83
2,1200,loss,0.002274287398904562
2,1300,win,0.0
2,1300,draw,0.87
2,1300,loss,0.0025541847571730614
2,1400,win,0.0
2,1400,draw,0.9
2,1400,loss,0.0029973750934004784
2,1500,win,0.0
2,1500,draw,0.91
2,1500,loss,0.003039542818441987
2,1600,win,0.0
2,1600,draw,0.88
2,1600,loss,0.002626864705234766
2,1700,win,0.0
2,1700,draw,0.92
2,1700,loss,0.0013923601945862174
2,1800,win,0.0
2,1800,draw,0.91
2,1800,loss,0.002260745968669653
2,1900,win,0.0
2,1900,draw,0.9
2,1900,loss,0.0018207981484010816
2,2000,win,0.0
2,2000,draw,0.93
2,2000,loss,0.0019059444312006235
2,2100,win,0.0
2,2100,draw,0.87
2,2100,loss,0.0020934604108333588
2,2200,win,0.0
2,2200,draw,0.9
2,2200,loss,0.0015966061037033796
2,2300,win,0.0
2,2300,draw,0.94
2,2300,loss,0.0016796478303149343
2,2400,win,0.0
2,2400,draw,0.94
2,2400,loss,0.00143063731957227
2,2500,win,0.0
2,2500,draw,0.97
2,2500,loss,0.0018926530610769987
2,2600,win,0.0
2,2600,draw,1.0
2,2600,loss,0.0012733228504657745
2,2700,win,0.0
2,2700,draw,0.93
2,2700,loss,0.0017013531178236008
2,2800,win,0.0
2,2800,draw,1.0
2,2800,loss,0.0020348206162452698
2,2900,win,0.0
2,2900,draw,0.99
2,2900,loss,0.0019530323334038258
3,0,win,0.0
3,0,draw,0.01
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.03
3,300,win,0.0
3,300,draw,0.05
3,400,win,0.0
3,400,draw,0.27
3,400,loss,0.0035852198489010334
3,500,win,0.0
3,500,draw,0.38
3,500,loss,0.0035867621190845966
3,600,win,0.0
3,600,draw,0.7
3,600,loss,0.003184922505170107
3,700,win,0.0
3,700,draw,0.69
3,700,loss,0.0031841262243688107
3,800,win,0.0
3,800,draw,0.83
3,800,loss,0.0024229581467807293
3,900,win,0.0
3,900,draw,0.82
3,900,loss,0.003007166087627411
3,1000,win,0.0
3,1000,draw,0.85
3,1000,loss,0.001351101091131568
3,1100,win,0.0
3,1100,draw,0.82
3,1100,loss,0.0012601769994944334
3,1200,win,0.0
3,1200,draw,0.88
3,1200,loss,0.002613252494484186
3,1300,win,0.0
3,1300,draw,0.84
3,1300,loss,0.0015889715868979692
3,1400,win,0.0
3,1400,draw,0.71
3,1400,loss,0.001854918198660016
3,1500,win,0.0
3,1500,draw,0.89
3,1500,loss,0.001181390369310975
3,1600,win,0.0
3,1600,draw,0.95
3,1600,loss,0.0013897715834900737
3,1700,win,0.0
3,1700,draw,0.84
3,1700,loss,0.002016394631937146
3,1800,win,0.0
3,1800,draw,0.88
3,1800,loss,0.0012180565390735865
3,1900,win,0.0
3,1900,draw,0.84
3,1900,loss,0.0014834378380328417
3,2000,win,0.0
3,2000,draw,0.79
3,2000,loss,0.0008577987318858504
3,2100,win,0.0
3,2100,draw,0.92
3,2100,loss,0.001783021492883563
3,2200,win,0.0
3,2200,draw,0.91
3,2200,loss,0.0025008462835103273
3,2300,win,0.0
3,2300,draw,0.89
3,2300,loss,0.0011244353372603655
3,2400,win,0.0
3,2400,draw,0.86
3,2400,loss,0.0019894475117325783
3,2500,win,0.0
3,2500,draw,0.92
3,2500,loss,0.001954219304025173
3,2600,win,0.0
3,2600,draw,0.94
3,2600,loss,0.0012385186273604631
3,2700,win,0.0
3,2700,draw,0.88
3,2700,loss,0.0013834062265232205
3,2800,win,0.0
3,2800,draw,0.91
3,2800,loss,0.0008806306286714971
3,2900,win,0.0
3,2900,draw,0.9
3,2900,loss,0.0009203472291119397
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.0
4,300,win,0.0
