seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.02
0,100,win,0.0
0,100,draw,0.03
0,200,win,0.0
0,200,draw,0.01
0,300,win,0.0
0,300,draw,0.03
0,400,win,0.0
0,400,draw,0.09
0,400,loss,0.002335750497877598
0,500,win,0.0
0,500,draw,0.07
0,500,loss,0.0020959284156560898
0,600,win,0.0
0,600,draw,0.11
0,600,loss,0.0026429579593241215
0,700,win,0.0
0,700,draw,0.15
0,700,loss,0.004472032189369202
0,800,win,0.0
0,800,draw,0.25
0,800,loss,0.003539577592164278
0,900,win,0.0
0,900,draw,0.33
0,900,loss,0.003685364965349436
0,1000,win,0.0
0,1000,draw,0.2
0,1000,loss,0.004943241365253925
0,1100,win,0.0
0,1100,draw,0.56
0,1100,loss,0.005104351323097944
0,1200,win,0.0
0,1200,draw,0.54
0,1200,loss,0.0028716118540614843
0,1300,win,0.0
0,1300,draw,0.64
0,1300,loss,0.004021621309220791
0,1400,win,0.0
0,1400,draw,0.54
0,1400,loss,0.003733658231794834
0,1500,win,0.0
0,1500,draw,0.57
0,1500,loss,0.0047996193170547485
0,1600,win,0.0
0,1600,draw,0.7
0,1600,loss,0.004119138699024916
0,1700,win,0.0
0,1700,draw,0.7
0,1700,loss,0.004656883422285318
0,1800,win,0.0
0,1800,draw,0.66
0,1800,loss,0.004095648415386677
0,1900,win,0.0
0,1900,draw,0.7
0,1900,loss,0.005446571856737137
0,2000,win,0.0
0,2000,draw,0.8
0,2000,loss,0.004410115536302328
0,2100,win,0.0
0,2100,draw,0.71
0,2100,loss,0.004552900791168213
0,2200,win,0.0
0,2200,draw,0.81
0,2200,loss,0.0047121718525886536
0,2300,win,0.0
0,2300,draw,0.74
0,2300,loss,0.0038232081569731236
0,2400,win,0.0
0,2400,draw,0.61
0,2400,loss,0.004024680238217115
0,2500,win,0.0
0,2500,draw,0.73
0,2500,loss,0.0038875159807503223
0,2600,win,0.0
0,2600,draw,0.83
0,2600,loss,0.0038206393364816904
0,2700,win,0.0
0,2700,draw,0.79
0,2700,loss,0.0046326592564582825
0,2800,win,0.0
0,2800,draw,0.79
0,2800,loss,0.005550001282244921
0,2900,win,0.0
0,2900,draw,0.87
0,2900,loss,0.0034062108024954796
1,0,win,0.0
1,0,draw,0.03
1,100,win,0.0
1,100,draw,0.05
1,200,win,0.0
1,200,draw,0.03
1,300,win,0.0
1,300,draw,0.04
1,400,win,0.0
1,400,draw,0.01
1,400,loss,0.004279645159840584
1,500,win,0.0
1,500,draw,0.27
