seed,episode,metric,val
0,0,win,0.0
0,0,draw,0.09
0,100,win,0.0
0,100,draw,0.12
0,200,win,0.0
0,200,draw,0.15
0,300,win,0.0
0,300,draw,0.12
0,400,win,0.0
0,400,draw,0.1
0,400,loss,0.005087550729513168
0,500,win,0.0
0,500,draw,0.06
0,500,loss,0.002065133536234498
0,600,win,0.0
0,600,draw,0.24
0,600,loss,0.0016736957477405667
0,700,win,0.0
0,700,draw,0.51
0,700,loss,0.001547107007354498
0,800,win,0.0
0,800,draw,0.67
0,800,loss,0.0011160057038068771
0,900,win,0.0
0,900,draw,0.78
0,900,loss,0.0017695920541882515
0,1000,win,0.0
0,1000,draw,0.88
0,1000,loss,0.0010309184435755014
0,1100,win,0.0
0,1100,draw,0.85
0,1100,loss,0.0010558483190834522
0,1200,win,0.0
0,1200,draw,0.89
0,1200,loss,0.0011065462604165077
0,1300,win,0.0
0,1300,draw,0.9
0,1300,loss,0.0010164652485400438
0,1400,win,0.0
0,1400,draw,0.94
0,1400,loss,0.0009145323419943452
0,1500,win,0.0
0,1500,draw,0.89
0,1500,loss,0.0009427334880456328
0,1600,win,0.0
0,1600,draw,0.99
0,1600,loss,0.0010879298206418753
0,1700,win,0.0
0,1700,draw,0.94
0,1700,loss,0.0014922108966857195
0,1800,win,0.0
0,1800,draw,0.99
0,1800,loss,0.001281536533497274
0,1900,win,0.0
0,1900,draw,0.97
0,1900,loss,0.0008598200511187315
0,2000,win,0.0
0,2000,draw,0.96
0,2000,loss,0.0008760867640376091
0,2100,win,0.0
0,2100,draw,0.98
0,2100,loss,0.0011037819785997272
0,2200,win,0.0
0,2200,draw,1.0
0,2200,loss,0.0010819294257089496
0,2300,win,0.0
0,2300,draw,0.96
0,2300,loss,0.0009583713253960013
0,2400,win,0.0
0,2400,draw,0.96
0,2400,loss,0.0008912596385926008
0,2500,win,0.0
0,2500,draw,1.0
0,2500,loss,0.0006118062883615494
0,2600,win,0.0
0,2600,draw,0.99
0,2600,loss,0.0006814794614911079
0,2700,win,0.0
0,2700,draw,0.93
0,2700,loss,0.0010876096785068512
0,2800,win,0.0
0,2800,draw,0.98
0,2800,loss,0.0008333587902598083
0,2900,win,0.0
0,2900,draw,1.0
0,2900,loss,0.00031458906596526504
1,0,win,0.0
1,0,draw,0.01
1,100,win,0.0
1,100,draw,0.02
1,200,win,0.0
1,200,draw,0.02
1,300,win,0.0
1,300,draw,0.01
1,400,win,0.0
1,400,draw,0.0
1,400,loss,0.0038338794838637114
1,500,win,0.0
1,500,draw,0.1
1,500,loss,0.0018671649741008878
1,600,win,0.0
1,600,draw,0.21
1,600,loss,0.001930571859702468
1,700,win,0.0
1,700,draw,0.37
1,700,loss,0.0018920277943834662
1,800,win,0.0
1,800,draw,0.72
1,800,loss,0.0024098940193653107
1,900,win,0.0
1,900,draw,0.86
1,900,loss,0.0013724783202633262
1,1000,win,0.0
1,1000,draw,0.81
1,1000,loss,0.0015462224837392569
1,1100,win,0.0
1,1100,draw,0.87
1,1100,loss,0.0017627004999667406
1,1200,win,0.0
1,1200,draw,0.94
1,1200,loss,0.0013398814480751753
1,1300,win,0.0
1,1300,draw,0.88
1,1300,loss,0.0013526980765163898
1,1400,win,0.0
1,1400,draw,1.0
1,1400,loss,0.000972981215454638
1,1500,win,0.0
1,1500,draw,0.89
1,1500,loss,0.000911463052034378
1,1600,win,0.0
1,1600,draw,0.96
1,1600,loss,0.0005919466493651271
1,1700,win,0.0
1,1700,draw,0.96
1,1700,loss,0.0008821377996355295
1,1800,win,0.0
1,1800,draw,0.95
1,1800,loss,0.0007625690195709467
1,1900,win,0.0
1,1900,draw,0.96
1,1900,loss,0.0008759876945987344
1,2000,win,0.0
1,2000,draw,1.0
1,2000,loss,0.001009564846754074
1,2100,win,0.0
1,2100,draw,1.0
1,2100,loss,0.0011768224649131298
1,2200,win,0.0
1,2200,draw,1.0
1,2200,loss,0.0005478811217471957
1,2300,win,0.0
1,2300,draw,1.0
1,2300,loss,0.0006800502887926996
1,2400,win,0.0
1,2400,draw,0.99
1,2400,loss,0.0006364411674439907
1,2500,win,0.0
1,2500,draw,0.94
1,2500,loss,0.00040097296005114913
1,2600,win,0.0
1,2600,draw,1.0
1,2600,loss,0.0004022265784442425
1,2700,win,0.0
1,2700,draw,1.0
1,2700,loss,0.0006380034028552473
1,2800,win,0.0
1,2800,draw,1.0
1,2800,loss,0.00027396311634220183
1,2900,win,0.0
1,2900,draw,0.97
1,2900,loss,0.00023700438032392412
2,0,win,0.0
2,0,draw,0.08
2,100,win,0.0
2,100,draw,0.03
2,200,win,0.0
2,200,draw,0.06
2,300,win,0.0
2,300,draw,0.04
2,400,win,0.0
2,400,draw,0.05
2,400,loss,0.005174769088625908
2,500,win,0.0
2,500,draw,0.19
2,500,loss,0.002072111703455448
2,600,win,0.0
2,600,draw,0.07
2,600,loss,0.0016420241445302963
2,700,win,0.0
2,700,draw,0.36
2,700,loss,0.0012463809689506888
2,800,win,0.0
2,800,draw,0.77
2,800,loss,0.0015032361261546612
2,900,win,0.0
2,900,draw,0.82
2,900,loss,0.0015945039922371507
2,1000,win,0.0
2,1000,draw,0.84
2,1000,loss,0.0010690520284697413
2,1100,win,0.0
2,1100,draw,0.85
2,1100,loss,0.0005130395293235779
2,1200,win,0.0
2,1200,draw,0.9
2,1200,loss,0.001590146217495203
2,1300,win,0.0
2,1300,draw,0.92
2,1300,loss,0.0006524305790662766
2,1400,win,0.0
2,1400,draw,0.94
2,1400,loss,0.0008163581369444728
2,1500,win,0.0
2,1500,draw,0.94
2,1500,loss,0.0007860918994992971
2,1600,win,0.0
2,1600,draw,0.94
2,1600,loss,0.0011767378309741616
2,1700,win,0.0
2,1700,draw,0.95
2,1700,loss,0.0007661910494789481
2,1800,win,0.0
2,1800,draw,0.83
2,1800,loss,0.0008394233882427216
2,1900,win,0.0
2,1900,draw,0.98
2,1900,loss,0.0009529778617434204
2,2000,win,0.0
2,2000,draw,0.91
2,2000,loss,0.0007750568329356611
2,2100,win,0.0
2,2100,draw,0.91
2,2100,loss,0.0010008071549236774
2,2200,win,0.0
2,2200,draw,0.97
2,2200,loss,0.0011784557718783617
2,2300,win,0.0
2,2300,draw,0.99
2,2300,loss,0.0005414974875748158
2,2400,win,0.0
2,2400,draw,1.0
2,2400,loss,0.0006379922851920128
2,2500,win,0.0
2,2500,draw,1.0
2,2500,loss,0.0011527888709679246
2,2600,win,0.0
2,2600,draw,0.96
2,2600,loss,0.0009362209239043295
2,2700,win,0.0
2,2700,draw,0.99
2,2700,loss,0.0004778639995492995
2,2800,win,0.0
2,2800,draw,1.0
2,2800,loss,0.0005226865177974105
2,2900,win,0.0
2,2900,draw,1.0
2,2900,loss,0.0004416443989612162
3,0,win,0.0
3,0,draw,0.03
3,100,win,0.0
3,100,draw,0.02
3,200,win,0.0
3,200,draw,0.01
3,300,win,0.0
3,300,draw,0.02
3,400,win,0.0
3,400,draw,0.04
3,400,loss,0.0062494841404259205
3,500,win,0.0
3,500,draw,0.0
3,500,loss,0.0015546884387731552
3,600,win,0.0
3,600,draw,0.1
3,600,loss,0.0019145419355481863
3,700,win,0.0
3,700,draw,0.21
3,700,loss,0.000989976804703474
3,800,win,0.0
3,800,draw,0.58
3,800,loss,0.0012288729194551706
3,900,win,0.0
3,900,draw,0.68
3,900,loss,0.0017950301989912987
3,1000,win,0.0
3,1000,draw,0.77
3,1000,loss,0.001609554747119546
3,1100,win,0.0
3,1100,draw,0.92
3,1100,loss,0.0012508666841313243
3,1200,win,0.0
3,1200,draw,0.88
3,1200,loss,0.0010948495473712683
3,1300,win,0.0
3,1300,draw,0.9
3,1300,loss,0.0016609663143754005
3,1400,win,0.0
3,1400,draw,0.91
3,1400,loss,0.0014670210657641292
3,1500,win,0.0
3,1500,draw,0.96
3,1500,loss,0.0005652707768604159
3,1600,win,0.0
3,1600,draw,0.94
3,1600,loss,0.0008639477891847491
3,1700,win,0.0
3,1700,draw,0.95
3,1700,loss,0.0006756991497240961
3,1800,win,0.0
3,1800,draw,0.96
3,1800,loss,0.000730095081962645
3,1900,win,0.0
3,1900,draw,0.89
3,1900,loss,0.0008828988065943122
3,2000,win,0.0
3,2000,draw,0.89
3,2000,loss,0.0005530479247681797
3,2100,win,0.0
3,2100,draw,0.96
3,2100,loss,0.0004346516798250377
3,2200,win,0.0
3,2200,draw,0.94
3,2200,loss,0.0006863615126349032
3,2300,win,0.0
3,2300,draw,0.95
3,2300,loss,0.0006961628096178174
3,2400,win,0.0
3,2400,draw,0.9
3,2400,loss,0.0006999426404945552
3,2500,win,0.0
3,2500,draw,0.95
3,2500,loss,0.0005361015209928155
3,2600,win,0.0
3,2600,draw,0.95
3,2600,loss,0.0007863125647418201
3,2700,win,0.0
3,2700,draw,0.95
3,2700,loss,0.00048293621512129903
3,2800,win,0.0
3,2800,draw,0.96
3,2800,loss,0.0009568060049787164
3,2900,win,0.0
3,2900,draw,0.96
3,2900,loss,0.0005549627239815891
4,0,win,0.0
4,0,draw,0.0
4,100,win,0.0
4,100,draw,0.02
4,200,win,0.0
4,200,draw,0.02
4,300,win,0.0
4,300,draw,0.02
4,400,win,0.0
4,400,draw,0.0
4,400,loss,0.004674057476222515
4,500,win,0.0
4,500,draw,0.04
4,500,loss,0.00188537803478539
4,600,win,0.0
4,600,draw,0.24
4,600,loss,0.001478859456256032
4,700,win,0.0
4,700,draw,0.22
4,700,loss,0.0012588389217853546
4,800,win,0.0
4,800,draw,0.47
4,800,loss,0.0018406709423288703
4,900,win,0.0
4,900,draw,0.6
4,900,loss,0.0023587155155837536
4,1000,win,0.0
4,1000,draw,0.73
4,1000,loss,0.002442303579300642
4,1100,win,0.0
4,1100,draw,0.71
4,1100,loss,0.0020415105391293764
4,1200,win,0.0
4,1200,draw,0.79
4,1200,loss,0.0014916406944394112
4,1300,win,0.0
4,1300,draw,0.84
4,1300,loss,0.001604667166247964
4,1400,win,0.0
